,,,,,,,,,,,,,,,,,,
운중동 ( 경기 성남시 분당구 운중동 935 운중동주민센터 ),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
날짜,통합대기환경지수,,,PM10,,,PM2.5,,,오존,,이산화질소,,일산화탄소,,아황산가스,,"최종확정
여 부"
(년-월-일:시),,,,(㎍/㎥),,,(㎍/㎥),,,(ppm),,(ppm),,(ppm),,(ppm),,
,주오염물질,등급,지수,1시간,24시간,등급,1시간,24시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,
2017-05-20:09,이산화질소,보통,95,58,37,보통,28,18,보통,0.014,좋음,0.057,보통,0.5,좋음,0.006,좋음,N
2017-05-20:08,이산화질소,보통,68,38,32,보통,13,15,좋음,0.019,좋음,0.041,보통,0.5,좋음,0.005,좋음,N
2017-05-20:07,이산화질소,보통,83,26,31,보통,12,17,보통,0.009,좋음,0.050,보통,0.4,좋음,0.004,좋음,N
2017-05-20:06,이산화질소,보통,59,32,33,보통,19,18,보통,0.019,좋음,0.036,보통,0.4,좋음,0.003,좋음,N
2017-05-20:05,이산화질소,보통,71,27,36,보통,11,18,보통,0.015,좋음,0.043,보통,0.3,좋음,0.003,좋음,N
2017-05-20:04,이산화질소,보통,61,26,37,보통,20,20,보통,0.019,좋음,0.037,보통,0.4,좋음,0.003,좋음,N
2017-05-20:03,PM10,보통,59,37,39,보통,20,20,보통,0.022,좋음,0.034,보통,0.4,좋음,0.003,좋음,N
2017-05-20:02,이산화질소,보통,68,39,40,보통,20,20,보통,0.019,좋음,0.041,보통,0.4,좋음,0.003,좋음,N
2017-05-20:01,이산화질소,보통,71,23,41,보통,,19,보통,0.021,좋음,0.043,보통,0.4,좋음,0.003,좋음,N
2017-05-19:24,이산화질소,보통,90,34,45,보통,21,19,보통,0.016,좋음,0.054,보통,0.4,좋음,0.003,좋음,N
2017-05-19:23,이산화질소,보통,92,40,48,보통,20,19,보통,0.019,좋음,0.055,보통,0.4,좋음,0.003,좋음,N
2017-05-19:22,PM10,보통,69,41,49,보통,18,18,보통,0.034,보통,0.038,보통,0.4,좋음,0.003,좋음,N
2017-05-19:21,PM10,보통,72,39,52,보통,15,19,보통,0.043,보통,0.030,좋음,0.4,좋음,0.003,좋음,N
2017-05-19:20,PM10,보통,75,49,55,보통,18,21,보통,0.044,보통,0.029,좋음,0.3,좋음,0.003,좋음,N
2017-05-19:19,PM10,보통,76,44,56,보통,17,21,보통,0.053,보통,0.021,좋음,0.3,좋음,0.002,좋음,N
2017-05-19:18,PM10,보통,77,72,57,보통,19,22,보통,0.057,보통,0.020,좋음,0.3,좋음,0.003,좋음,N
2017-05-19:17,오존,보통,81,63,57,보통,24,22,보통,0.067,보통,0.016,좋음,0.4,좋음,0.003,좋음,N
2017-05-19:16,오존,보통,80,57,55,보통,21,21,보통,0.066,보통,0.016,좋음,0.3,좋음,0.003,좋음,N
2017-05-19:15,오존,보통,81,50,55,보통,20,22,보통,0.067,보통,0.016,좋음,0.3,좋음,0.003,좋음,N
2017-05-19:14,오존,보통,82,61,58,보통,17,23,보통,0.068,보통,0.015,좋음,0.3,좋음,0.004,좋음,N
2017-05-19:13,오존,보통,79,56,58,보통,22,25,보통,0.065,보통,0.020,좋음,0.4,좋음,0.004,좋음,N
2017-05-19:12,PM10,보통,78,61,58,보통,25,25,보통,0.057,보통,0.027,좋음,0.4,좋음,0.005,좋음,N
2017-05-19:11,PM10,보통,76,65,56,보통,22,25,보통,0.045,보통,0.031,보통,0.4,좋음,0.006,좋음,N
2017-05-19:10,PM10,보통,72,61,52,보통,24,25,보통,0.044,보통,0.029,좋음,0.4,좋음,0.007,좋음,N
2017-05-19:09,PM10,보통,70,57,50,보통,32,25,보통,0.042,보통,0.028,좋음,0.4,좋음,0.006,좋음,N
2017-05-19:08,이산화질소,보통,73,47,49,보통,21,25,보통,0.020,좋음,0.044,보통,0.5,좋음,0.004,좋음,N
2017-05-19:07,이산화질소,보통,97,40,50,보통,20,26,보통,0.007,좋음,0.058,보통,0.5,좋음,0.003,좋음,N
2017-05-19:06,이산화질소,보통,83,48,53,보통,24,27,보통,0.010,좋음,0.050,보통,0.4,좋음,0.003,좋음,N
2017-05-19:05,이산화질소,보통,78,44,56,보통,24,28,보통,0.015,좋음,0.047,보통,0.4,좋음,0.003,좋음,N
2017-05-19:04,PM10,보통,79,56,59,보통,32,28,보통,0.025,좋음,0.034,보통,0.4,좋음,0.003,좋음,N
2017-05-19:03,PM10,보통,79,57,59,보통,33,28,보통,0.029,좋음,0.029,좋음,0.4,좋음,0.003,좋음,N
2017-05-19:02,PM10,보통,79,66,59,보통,37,28,보통,0.027,좋음,0.034,보통,0.5,좋음,0.004,좋음,N
2017-05-19:01,PM10,보통,77,57,57,보통,29,28,보통,0.025,좋음,0.039,보통,0.5,좋음,0.005,좋음,N
2017-05-18:24,PM10,보통,77,51,57,보통,31,28,보통,0.028,좋음,0.041,보통,0.5,좋음,0.006,좋음,N
2017-05-18:23,이산화질소,보통,81,57,59,보통,32,28,보통,0.026,좋음,0.049,보통,0.6,좋음,0.007,좋음,N
2017-05-18:22,PM10,보통,80,53,60,보통,26,28,보통,0.035,보통,0.045,보통,0.5,좋음,0.006,좋음,N
2017-05-18:21,PM10,보통,81,56,61,보통,27,28,보통,0.051,보통,0.027,좋음,0.4,좋음,0.006,좋음,N
2017-05-18:20,PM10,보통,82,55,62,보통,29,28,보통,0.061,보통,0.021,좋음,0.4,좋음,0.006,좋음,N
2017-05-18:19,PM10,보통,83,64,63,보통,30,26,보통,0.066,보통,0.022,좋음,0.5,좋음,0.007,좋음,N
